Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,56.860001,57.380001,56.840000,57.310001,44.688660,2251500
2010-01-05,57.340000,57.540001,57.110001,57.529999,44.860222,1597700
2010-01-06,57.500000,57.720001,57.410000,57.610001,44.922607,2120300
2010-01-07,57.549999,57.889999,57.290001,57.849998,45.109753,1656700
2010-01-08,57.700001,58.049999,57.560001,58.040001,45.257896,1650000
2010-01-11,58.299999,58.349998,57.849998,58.119999,45.320271,1883100
2010-01-12,57.750000,57.820000,57.299999,57.520000,44.852421,1730100
2010-01-13,57.709999,58.180000,57.360001,58.060001,45.273476,1825200
2010-01-14,58.020000,58.279999,57.939999,58.160000,45.351460,1667100
2010-01-15,58.099998,58.150002,57.299999,57.500000,44.836819,2785900
2010-01-19,57.549999,58.290001,57.520000,58.259998,45.429443,2546700
2010-01-20,57.900002,57.900002,57.209999,57.720001,45.008373,2755100
2010-01-21,57.720001,57.910000,56.570000,56.660000,44.181812,4350700
2010-01-22,56.400002,56.599998,55.310001,55.410000,43.207111,4423000
2010-01-25,55.880001,55.970001,55.459999,55.650002,43.394257,2781100
2010-01-26,55.450001,55.990002,55.270000,55.400002,43.199306,1704300
2010-01-27,55.299999,55.750000,54.869999,55.669998,43.409847,2077900
2010-01-28,55.889999,55.889999,54.650002,55.009998,42.895191,2235100
2010-01-29,55.240002,55.650002,54.279999,54.360001,42.388325,2421800
2010-02-01,54.720001,55.240002,54.700001,55.189999,43.035542,2132800
2010-02-02,55.340000,56.029999,55.130001,55.900002,43.589184,2565500
2010-02-03,55.669998,55.919998,55.430000,55.619999,43.370853,1352600
2010-02-04,55.169998,55.180000,53.860001,53.889999,42.021851,3029700
2010-02-05,53.880001,54.070000,52.820000,53.980000,42.092030,5416200
2010-02-08,54.020000,54.299999,53.540001,53.560001,41.764530,1494300
2010-02-09,54.160000,54.700001,53.750000,54.270000,42.318165,2191500
2010-02-10,54.200001,54.459999,53.700001,54.189999,42.255783,1340800
2010-02-11,54.070000,54.840000,53.759998,54.770000,42.708031,1302300
2010-02-12,54.220001,54.810001,54.000000,54.770000,42.708031,2189100
2010-02-16,55.240002,55.770000,55.040001,55.689999,43.425438,1186500
2010-02-17,55.990002,56.080002,55.740002,56.000000,43.667156,1936000
2010-02-18,55.939999,56.439999,55.869999,56.320000,43.916691,1537400
2010-02-19,56.150002,56.669998,56.060001,56.520000,44.072647,1863000
2010-02-22,56.709999,56.720001,56.320000,56.430000,44.002457,3049500
2010-02-23,56.310001,56.480000,55.610001,55.750000,43.472218,2144700
2010-02-24,55.930000,56.340000,55.790001,56.250000,43.862103,1689100
2010-02-25,55.459999,56.240002,55.290001,56.230000,43.846500,2956100
2010-02-26,56.220001,56.410000,55.910000,56.230000,43.846500,1272600
2010-03-01,56.490002,56.939999,56.470001,56.900002,44.368969,1580100
2010-03-02,57.169998,57.369999,57.000000,57.080002,44.509319,1988900
2010-03-03,57.279999,57.520000,57.040001,57.150002,44.563892,1617900
2010-03-04,57.279999,57.400002,57.009998,57.299999,44.680862,1636600
2010-03-05,57.740002,58.230000,57.560001,58.209999,45.390453,2699100
2010-03-08,58.220001,58.349998,58.110001,58.220001,45.398262,2027600
2010-03-09,58.049999,58.610001,58.020000,58.340000,45.491829,4736900
2010-03-10,58.410000,58.779999,58.340000,58.650002,45.733562,1949600
2010-03-11,58.439999,58.880001,58.270000,58.869999,45.905094,2391700
2010-03-12,59.139999,59.150002,58.700001,58.869999,45.905094,1227600
2010-03-15,58.810001,58.900002,58.419998,58.849998,45.889515,1624900
2010-03-16,58.980000,59.389999,58.860001,59.330002,46.263805,1047800
2010-03-17,59.529999,59.930000,59.509998,59.709999,46.560112,2022900
2010-03-18,59.740002,59.799999,59.419998,59.639999,46.505524,2714900
2010-03-19,59.250000,59.830002,59.040001,59.250000,46.201424,2010400
2010-03-22,58.910000,59.740002,58.860001,59.669998,46.528927,1643100
2010-03-23,59.759998,60.130001,59.529999,60.090000,46.856430,2298500
